id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,period,value_pct
1,HDFCBANK,,,10 Years:     15%,,,
10,SBILIFE,,,5 Years:       8%,,,
11,SBILIFE,,,3 Years:       7%,,,
12,SBILIFE,,,1 Year:         -2%,,,
13,TCS,,,10 Years:      14%,,,
14,TCS,,,5 Years:      16%,,,
15,TCS,,,3 Years:      8%,,,
16,TCS,,,1 Year:       16%,,,
17,WIPRO,,,10 Years:     12%,,,
18,WIPRO,,,5 Years:     20%,,,
19,WIPRO,,,3 Years:      -1%,,,
2,HDFCBANK,,,5 Years:       8%,,,
20,WIPRO,,,1 Year:       39%,,,
3,HDFCBANK,,,3 Years:       8%,,,
4,HDFCBANK,,,1 Year:        13%,,,
5,INFY,,,10 Years:     15%,,,
6,INFY,,,5 Years:     22%,,,
7,INFY,,,3 Years:     4%,,,
8,INFY,,,1 Year:       27%,,,
9,SBILIFE,,,10 Years:      9%,,,
