id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,year_label,fiscal_year,month,is_ttm
136,ABB,Dec 2012,21.0,626,0.0,260.0,907.0,109.0,1,0,798,907.0,Dec 2012,2012.0,Dec,False
137,ABB,Mar 2014,21.0,767,0.0,351.0,1139.0,98.0,1,0,1040,1139.0,Mar 2014,2014.0,Mar,False
138,ABB,Mar 2015,21.0,916,0.0,436.0,1374.0,96.0,4,0,1274,1374.0,Mar 2015,2015.0,Mar,False
139,ABB,Mar 2016,21.0,1174,0.0,421.0,1616.0,108.0,3,0,1505,1616.0,Mar 2016,2016.0,Mar,False
140,ABB,Mar 2017,21.0,1366,0.0,679.0,2066.0,110.0,6,0,1950,2066.0,Mar 2017,2017.0,Mar,False
141,ABB,Mar 2018,21.0,1672,0.0,723.0,2416.0,81.0,2,0,2333,2416.0,Mar 2018,2018.0,Mar,False
142,ABB,Mar 2019,21.0,1987,0.0,932.0,2941.0,105.0,1,0,2835,2941.0,Mar 2019,2019.0,Mar,False
143,ABB,Mar 2020,21.0,2410,175.0,940.0,3547.0,270.0,2,0,3275,3547.0,Mar 2020,2020.0,Mar,False
144,ABB,Mar 2021,21.0,2581,153.0,1086.0,3840.0,251.0,1,0,3589,3840.0,Mar 2021,2021.0,Mar,False
145,ABB,Mar 2022,21.0,2799,152.0,1253.0,4224.0,271.0,1,0,3952,4224.0,Mar 2022,2022.0,Mar,False
146,ABB,Mar 2023,21.0,3167,113.0,1254.0,4556.0,237.0,4,0,4315,4556.0,Mar 2023,2023.0,Mar,False
147,ABB,Mar 2024,21.0,3678,83.0,1411.0,5193.0,225.0,10,0,4958,5193.0,Mar 2024,2024.0,Mar,False
148,ABB,Sep 2024,21.0,3500,60.0,1481.0,5063.0,216.0,13,0,4834,5063.0,Sep 2024,2024.0,Sep,False
149,ADANIENSOL,Mar 2014,0.1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,Mar 2014,2014.0,Mar,False
150,ADANIENSOL,Mar 2015,1090.0,-7,9701.0,708.0,11492.0,10573.0,10,0,909,11492.0,Mar 2015,2015.0,Mar,False
151,ADANIENSOL,Mar 2016,1100.0,1572,8585.0,489.0,11746.0,10060.0,258,20,1407,11746.0,Mar 2016,2016.0,Mar,False
152,ADANIENSOL,Mar 2017,1100.0,1847,8975.0,890.0,12811.0,9853.0,1343,105,1510,12811.0,Mar 2017,2017.0,Mar,False
153,ADANIENSOL,Mar 2018,1100.0,4957,10428.0,781.0,17265.0,9291.0,2353,0,5621,17265.0,Mar 2018,2018.0,Mar,False
154,ADANIENSOL,Mar 2019,1100.0,6943,20137.0,4379.0,32558.0,24412.0,694,336,7117,32558.0,Mar 2019,2019.0,Mar,False
155,ADANIENSOL,Mar 2020,1100.0,7399,24246.0,6966.0,39711.0,24924.0,2212,313,12262,39711.0,Mar 2020,2020.0,Mar,False
156,ADANIENSOL,Mar 2021,1100.0,7819,27095.0,7219.0,43234.0,26987.0,5255,442,10550,43234.0,Mar 2021,2021.0,Mar,False
157,ADANIENSOL,Mar 2022,1100.0,8813,29902.0,7650.0,47464.0,30272.0,5060,561,11572,47464.0,Mar 2022,2022.0,Mar,False
158,ADANIENSOL,Mar 2023,1115.0,10634,34270.0,7913.0,53932.0,32645.0,6200,1370,13716,53932.0,Mar 2023,2023.0,Mar,False
159,ADANIENSOL,Mar 2024,1115.0,11526,37070.0,8827.0,58538.0,38920.0,3003,766,15849,58538.0,Mar 2024,2024.0,Mar,False
160,ADANIENSOL,Sep 2024,1201.0,19784,39009.0,9113.0,69107.0,38186.0,4355,1608,24958,69107.0,Sep 2024,2024.0,Sep,False
170,ADANIENT,Mar 2013,110.0,21286,69332.0,21143.0,111871.0,48770.0,29248,323,33529,111871.0,Mar 2013,2013.0,Mar,False
171,ADANIENT,Mar 2014,110.0,23647,71980.0,22365.0,118102.0,70579.0,13574,288,33661,118102.0,Mar 2014,2014.0,Mar,False
172,ADANIENT,Mar 2015,110.0,25618,83571.0,21420.0,130718.0,83834.0,6733,744,39407,130718.0,Mar 2015,2015.0,Mar,False
173,ADANIENT,Mar 2016,110.0,13268,19169.0,9132.0,41679.0,10473.0,7705,805,22696,41679.0,Mar 2016,2016.0,Mar,False
174,ADANIENT,Mar 2017,110.0,14026,20846.0,12630.0,47611.0,13668.0,7731,1042,25170,47611.0,Mar 2017,2017.0,Mar,False
175,ADANIENT,Mar 2018,110.0,14979,17637.0,23679.0,56405.0,10555.0,5526,1461,38864,56405.0,Mar 2018,2018.0,Mar,False
