id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,year_label,fiscal_year,month,is_ttm
61,ABB,Dec 2012,1653.0,1451.0,202.0,12.0,33.0,0,19,215.0,33.0,145.0,68.0,25.0,Dec 2012,2012.0,Dec,False
62,ABB,Mar 2014,2276.0,2009.0,267.0,12.0,49.0,0,22,295.0,33.0,198.0,93.0,25.0,Mar 2014,2014.0,Mar,False
63,ABB,Mar 2015,2289.0,1977.0,312.0,14.0,48.0,0,15,344.0,34.0,229.0,108.0,29.0,Mar 2015,2015.0,Mar,False
64,ABB,Mar 2016,2614.0,2250.0,365.0,14.0,50.0,3,14,398.0,36.0,255.0,120.0,29.0,Mar 2016,2016.0,Mar,False
65,ABB,Mar 2017,2903.0,2505.0,398.0,14.0,57.0,2,16,436.0,37.0,277.0,130.0,31.0,Mar 2017,2017.0,Mar,False
66,ABB,Mar 2018,3298.0,2774.0,525.0,16.0,117.0,4,16,621.0,35.0,401.0,189.0,29.0,Mar 2018,2018.0,Mar,False
67,ABB,Mar 2019,3679.0,3074.0,605.0,16.0,113.0,2,17,699.0,36.0,450.0,212.0,31.0,Mar 2019,2019.0,Mar,False
68,ABB,Mar 2020,4093.0,3336.0,757.0,18.0,114.0,9,60,803.0,26.0,593.0,279.0,90.0,Mar 2020,2020.0,Mar,False
69,ABB,Mar 2021,4310.0,3388.0,922.0,21.0,81.0,18,58,926.0,25.0,691.0,325.0,85.0,Mar 2021,2021.0,Mar,False
70,ABB,Mar 2022,4913.0,3832.0,1082.0,22.0,83.0,19,66,1080.0,26.0,799.0,376.0,73.0,Mar 2022,2022.0,Mar,False
71,ABB,Mar 2023,5349.0,4143.0,1206.0,23.0,154.0,16,70,1274.0,25.0,949.0,447.0,73.0,Mar 2023,2023.0,Mar,False
72,ABB,Mar 2024,5849.0,4396.0,1453.0,25.0,248.0,12,71,1618.0,26.0,1201.0,565.0,73.0,Mar 2024,2024.0,Mar,False
73,ABB,TTM,6066.0,4519.0,1547.0,26.0,265.0,11,72,1728.0,,1285.0,605.0,,TTM,,,True
86,ADANIENSOL,Mar 2014,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,,Mar 2014,2014.0,Mar,False
87,ADANIENSOL,Mar 2015,131.0,29.0,101.0,78.0,3.0,73,37,-5.0,34.0,-7.0,0.0,0.0,Mar 2015,2015.0,Mar,False
88,ADANIENSOL,Mar 2016,2194.0,267.0,1927.0,88.0,70.0,957,560,480.0,23.0,368.0,3.0,0.0,Mar 2016,2016.0,Mar,False
89,ADANIENSOL,Mar 2017,2876.0,893.0,1983.0,69.0,22.0,904,569,532.0,22.0,416.0,4.0,0.0,Mar 2017,2017.0,Mar,False
90,ADANIENSOL,Mar 2018,3944.0,1118.0,2826.0,72.0,111.0,886,579,1472.0,22.0,1143.0,10.0,0.0,Mar 2018,2018.0,Mar,False
91,ADANIENSOL,Mar 2019,7305.0,4528.0,2778.0,38.0,336.0,1391,882,840.0,33.0,559.0,5.0,0.0,Mar 2019,2019.0,Mar,False
92,ADANIENSOL,Mar 2020,11416.0,7158.0,4258.0,37.0,261.0,2238,1174,1107.0,36.0,706.0,7.0,0.0,Mar 2020,2020.0,Mar,False
93,ADANIENSOL,Mar 2021,9926.0,5976.0,3950.0,40.0,1115.0,2117,1329,1620.0,20.0,1290.0,11.0,0.0,Mar 2021,2021.0,Mar,False
94,ADANIENSOL,Mar 2022,11258.0,7051.0,4206.0,37.0,1286.0,2365,1427,1700.0,27.0,1236.0,11.0,0.0,Mar 2022,2022.0,Mar,False
95,ADANIENSOL,Mar 2023,13293.0,8775.0,4518.0,34.0,1583.0,2781,1608,1712.0,25.0,1281.0,11.0,0.0,Mar 2023,2023.0,Mar,False
96,ADANIENSOL,Mar 2024,16607.0,10896.0,5711.0,30.0,611.0,2767,1776,1780.0,33.0,1196.0,10.0,0.0,Mar 2024,2024.0,Mar,False
97,ADANIENSOL,TTM,22099.0,15507.0,6592.0,,-844.0,3183,1912,653.0,,589.0,6.0,,TTM,,,True
98,ADANIENT,Mar 2013,46375.0,40354.0,6021.0,13.0,1775.0,3492,2298,2005.0,39.0,1218.0,15.0,10.0,Mar 2013,2013.0,Mar,False
99,ADANIENT,Mar 2014,54947.0,45564.0,9383.0,17.0,1157.0,5703,3223,1614.0,-64.0,2646.0,20.0,7.0,Mar 2014,2014.0,Mar,False
100,ADANIENT,Mar 2015,64465.0,52015.0,12450.0,19.0,792.0,7056,3522,2663.0,14.0,2298.0,18.0,8.0,Mar 2015,2015.0,Mar,False
101,ADANIENT,Mar 2016,34008.0,32325.0,1684.0,5.0,1044.0,1357,314,1056.0,7.0,1000.0,9.0,4.0,Mar 2016,2016.0,Mar,False
102,ADANIENT,Mar 2017,36533.0,34631.0,1902.0,5.0,749.0,1257,315,1079.0,25.0,925.0,9.0,4.0,Mar 2017,2017.0,Mar,False
103,ADANIENT,Mar 2018,35924.0,33886.0,2038.0,6.0,363.0,1250,664,487.0,23.0,594.0,7.0,6.0,Mar 2018,2018.0,Mar,False
104,ADANIENT,Mar 2019,40379.0,38409.0,1969.0,5.0,504.0,1625,390,459.0,32.0,506.0,7.0,6.0,Mar 2019,2019.0,Mar,False
105,ADANIENT,Mar 2020,43403.0,41108.0,2294.0,5.0,872.0,1572,472,1122.0,29.0,1040.0,10.0,10.0,Mar 2020,2020.0,Mar,False
106,ADANIENT,Mar 2021,39537.0,37031.0,2506.0,6.0,494.0,1377,537,1086.0,31.0,1046.0,8.0,12.0,Mar 2021,2021.0,Mar,False
107,ADANIENT,Mar 2022,69420.0,65707.0,3714.0,5.0,1012.0,2526,1248,952.0,50.0,788.0,7.0,14.0,Mar 2022,2022.0,Mar,False
108,ADANIENT,Mar 2023,127540.0,118722.0,8818.0,7.0,834.0,3969,2436,3247.0,32.0,2422.0,22.0,6.0,Mar 2023,2023.0,Mar,False
109,ADANIENT,Mar 2024,96421.0,85044.0,11377.0,12.0,1146.0,4555,3042,4926.0,33.0,3335.0,28.0,5.0,Mar 2024,2024.0,Mar,False
110,ADANIENT,TTM,102311.0,88418.0,13893.0,14.0,1489.0,4150,3541,7691.0,,6086.0,49.0,,TTM,,,True
111,ADANIGREEN,Mar 2017,502.0,98.0,403.0,80.0,80.0,334,333,-184.0,-75.0,-47.0,0.0,0.0,Mar 2017,2017.0,Mar,False
112,ADANIGREEN,Mar 2018,1480.0,637.0,843.0,57.0,42.0,552,543,-210.0,-35.0,-138.0,-1.0,0.0,Mar 2018,2018.0,Mar,False
113,ADANIGREEN,Mar 2019,2058.0,532.0,1526.0,74.0,73.0,1121,1062,-585.0,-19.0,-475.0,-3.0,0.0,Mar 2019,2019.0,Mar,False
114,ADANIGREEN,Mar 2020,2549.0,1098.0,1450.0,57.0,-111.0,995,394,-50.0,23.0,-68.0,0.0,0.0,Mar 2020,2020.0,Mar,False
115,ADANIGREEN,Mar 2021,3124.0,883.0,2241.0,72.0,391.0,1953,486,193.0,6.0,182.0,1.0,0.0,Mar 2021,2021.0,Mar,False
116,ADANIGREEN,Mar 2022,5133.0,1621.0,3512.0,68.0,507.0,2617,849,553.0,12.0,489.0,3.0,0.0,Mar 2022,2022.0,Mar,False
117,ADANIGREEN,Mar 2023,7776.0,2806.0,4970.0,64.0,667.0,2911,1300,1426.0,32.0,973.0,6.0,0.0,Mar 2023,2023.0,Mar,False
118,ADANIGREEN,Mar 2024,9220.0,1902.0,7318.0,79.0,1262.0,5006,1903,1671.0,25.0,1260.0,7.0,0.0,Mar 2024,2024.0,Mar,False
119,ADANIGREEN,TTM,10782.0,2682.0,8100.0,75.0,891.0,4959,2323,1709.0,,1928.0,9.0,0.0,TTM,,,True
120,ADANIPORTS,Mar 2013,3577.0,1195.0,2382.0,67.0,344.0,542,422,1762.0,7.0,1639.0,8.0,12.0,Mar 2013,2013.0,Mar,False
121,ADANIPORTS,Mar 2014,4830.0,1910.0,2919.0,60.0,685.0,977,649,1978.0,12.0,1741.0,8.0,12.0,Mar 2014,2014.0,Mar,False
122,ADANIPORTS,Mar 2015,6152.0,2250.0,3902.0,63.0,686.0,1175,912,2501.0,7.0,2324.0,11.0,10.0,Mar 2015,2015.0,Mar,False
123,ADANIPORTS,Mar 2016,7109.0,2532.0,4577.0,64.0,730.0,1124,1063,3119.0,9.0,2856.0,14.0,8.0,Mar 2016,2016.0,Mar,False
124,ADANIPORTS,Mar 2017,8439.0,3021.0,5418.0,64.0,1037.0,1116,1160,4179.0,7.0,3902.0,19.0,7.0,Mar 2017,2017.0,Mar,False
125,ADANIPORTS,Mar 2018,11323.0,4166.0,7157.0,63.0,844.0,1579,1188,5234.0,30.0,3690.0,18.0,11.0,Mar 2018,2018.0,Mar,False
126,ADANIPORTS,Mar 2019,10925.0,4330.0,6596.0,60.0,1289.0,1385,1373,5126.0,21.0,4045.0,19.0,1.0,Mar 2019,2019.0,Mar,False
127,ADANIPORTS,Mar 2020,11873.0,5926.0,5947.0,50.0,1928.0,1951,1680,4244.0,11.0,3785.0,19.0,17.0,Mar 2020,2020.0,Mar,False
128,ADANIPORTS,Mar 2021,12550.0,3862.0,8688.0,69.0,1967.0,2255,2107,6292.0,20.0,5049.0,25.0,20.0,Mar 2021,2021.0,Mar,False
129,ADANIPORTS,Mar 2022,17119.0,7591.0,9528.0,56.0,1832.0,2544,3099,5717.0,13.0,4953.0,23.0,22.0,Mar 2022,2022.0,Mar,False
130,ADANIPORTS,Mar 2023,20852.0,9905.0,10947.0,52.0,327.0,2363,3425,5487.0,2.0,5391.0,25.0,20.0,Mar 2023,2023.0,Mar,False
131,ADANIPORTS,Mar 2024,26711.0,11121.0,15589.0,58.0,671.0,2733,3888,9639.0,16.0,8104.0,38.0,16.0,Mar 2024,2024.0,Mar,False
132,ADANIPORTS,TTM,28443.0,11278.0,17165.0,60.0,1039.0,2591,4053,11560.0,,9743.0,45.0,,TTM,,,True
133,ADANIPORTS,Mar 2013,3577.0,1195.0,2382.0,67.0,344.0,542,422,1762.0,7.0,1639.0,8.0,12.0,Mar 2013,2013.0,Mar,False
134,ADANIPORTS,Mar 2014,4830.0,1910.0,2919.0,60.0,685.0,977,649,1978.0,12.0,1741.0,8.0,12.0,Mar 2014,2014.0,Mar,False
135,ADANIPORTS,Mar 2015,6152.0,2250.0,3902.0,63.0,686.0,1175,912,2501.0,7.0,2324.0,11.0,10.0,Mar 2015,2015.0,Mar,False
136,ADANIPORTS,Mar 2016,7109.0,2532.0,4577.0,64.0,730.0,1124,1063,3119.0,9.0,2856.0,14.0,8.0,Mar 2016,2016.0,Mar,False
137,ADANIPORTS,Mar 2017,8439.0,3021.0,5418.0,64.0,1037.0,1116,1160,4179.0,7.0,3902.0,19.0,7.0,Mar 2017,2017.0,Mar,False
138,ADANIPORTS,Mar 2018,11323.0,4166.0,7157.0,63.0,844.0,1579,1188,5234.0,30.0,3690.0,18.0,11.0,Mar 2018,2018.0,Mar,False
139,ADANIPORTS,Mar 2019,10925.0,4330.0,6596.0,60.0,1289.0,1385,1373,5126.0,21.0,4045.0,19.0,1.0,Mar 2019,2019.0,Mar,False
140,ADANIPORTS,Mar 2020,11873.0,5926.0,5947.0,50.0,1928.0,1951,1680,4244.0,11.0,3785.0,19.0,17.0,Mar 2020,2020.0,Mar,False
141,ADANIPORTS,Mar 2021,12550.0,3862.0,8688.0,69.0,1967.0,2255,2107,6292.0,20.0,5049.0,25.0,20.0,Mar 2021,2021.0,Mar,False
142,ADANIPORTS,Mar 2022,17119.0,7591.0,9528.0,56.0,1832.0,2544,3099,5717.0,13.0,4953.0,23.0,22.0,Mar 2022,2022.0,Mar,False
143,ADANIPORTS,Mar 2023,20852.0,9905.0,10947.0,52.0,327.0,2363,3425,5487.0,2.0,5391.0,25.0,20.0,Mar 2023,2023.0,Mar,False
144,ADANIPORTS,Mar 2024,26711.0,11121.0,15589.0,58.0,671.0,2733,3888,9639.0,16.0,8104.0,38.0,16.0,Mar 2024,2024.0,Mar,False
145,ADANIPORTS,TTM,28443.0,11278.0,17165.0,60.0,1039.0,2591,4053,11560.0,,9743.0,45.0,,TTM,,,True
146,ADANIPOWER,Mar 2013,6692.0,5732.0,960.0,14.0,215.0,1703,1290,-1818.0,26.0,-2295.0,-10.0,0.0,Mar 2013,2013.0,Mar,False
147,ADANIPOWER,Mar 2014,15328.0,10735.0,4593.0,30.0,137.0,4162,1937,-1370.0,-79.0,-291.0,-1.0,0.0,Mar 2014,2014.0,Mar,False
148,ADANIPOWER,Mar 2015,18683.0,14005.0,4678.0,25.0,1188.0,4864,1818,-816.0,0.0,-816.0,-3.0,0.0,Mar 2015,2015.0,Mar,False
149,ADANIPOWER,Mar 2016,25377.0,16575.0,8802.0,35.0,-201.0,5560,2666,375.0,-47.0,551.0,2.0,0.0,Mar 2016,2016.0,Mar,False
150,ADANIPOWER,Mar 2017,22616.0,16635.0,5980.0,26.0,-3666.0,5902,2672,-6260.0,-1.0,-6174.0,-16.0,0.0,Mar 2017,2017.0,Mar,False
151,ADANIPOWER,Mar 2018,20304.0,14868.0,5436.0,27.0,754.0,5570,2699,-2079.0,0.0,-2103.0,-5.0,0.0,Mar 2018,2018.0,Mar,False
152,ADANIPOWER,Mar 2019,23884.0,18901.0,4983.0,21.0,2448.0,5657,2751,-976.0,1.0,-984.0,-3.0,0.0,Mar 2019,2019.0,Mar,False
153,ADANIPOWER,Mar 2020,26468.0,20734.0,5734.0,22.0,323.0,5315,3006,-2265.0,0.0,-2275.0,-6.0,0.0,Mar 2020,2020.0,Mar,False
154,ADANIPOWER,Mar 2021,26221.0,17533.0,8688.0,33.0,1909.0,5106,3202,2289.0,45.0,1270.0,3.0,0.0,Mar 2021,2021.0,Mar,False
155,ADANIPOWER,Mar 2022,27711.0,17830.0,9881.0,36.0,3908.0,4095,3118,6577.0,25.0,4912.0,13.0,0.0,Mar 2022,2022.0,Mar,False
156,ADANIPOWER,Mar 2023,38773.0,28677.0,10096.0,26.0,4216.0,3334,3304,7675.0,-40.0,10727.0,28.0,0.0,Mar 2023,2023.0,Mar,False
157,ADANIPOWER,Mar 2024,50351.0,32124.0,18228.0,36.0,9883.0,3388,3931,20792.0,0.0,20829.0,54.0,0.0,Mar 2024,2024.0,Mar,False
158,ADANIPOWER,TTM,54650.0,33685.0,20965.0,38.0,2124.0,3235,4046,15808.0,,12686.0,33.0,,TTM,,,True
159,AMBUJACEM,Dec 2012,9749.0,7276.0,2473.0,25.0,69.0,78,569,1896.0,32.0,1292.0,8.0,43.0,Dec 2012,2012.0,Dec,False
160,AMBUJACEM,Dec 2013,9161.0,7492.0,1669.0,18.0,390.0,67,494,1498.0,15.0,1278.0,8.0,44.0,Dec 2013,2013.0,Dec,False
161,AMBUJACEM,Dec 2014,9955.0,8022.0,1934.0,19.0,419.0,66,513,1774.0,16.0,1487.0,10.0,46.0,Dec 2014,2014.0,Dec,False
162,AMBUJACEM,Dec 2015,9437.0,7895.0,1542.0,16.0,353.0,92,630,1173.0,31.0,808.0,5.0,54.0,Dec 2015,2015.0,Dec,False
163,AMBUJACEM,Dec 2016,20094.0,16913.0,3181.0,16.0,441.0,153,1461,2008.0,29.0,1434.0,6.0,50.0,Dec 2016,2016.0,Dec,False
164,AMBUJACEM,Dec 2017,23609.0,19751.0,3858.0,16.0,335.0,206,1219,2768.0,30.0,1945.0,8.0,47.0,Dec 2017,2017.0,Dec,False
165,AMBUJACEM,Dec 2018,26041.0,22030.0,4011.0,15.0,232.0,170,1154,2919.0,-2.0,2973.0,11.0,14.0,Dec 2018,2018.0,Dec,False
166,AMBUJACEM,Dec 2019,27104.0,22507.0,4597.0,17.0,601.0,170,1153,3875.0,28.0,2783.0,11.0,14.0,Dec 2019,2019.0,Dec,False
167,AMBUJACEM,Dec 2020,24516.0,19511.0,5006.0,20.0,288.0,140,1162,3992.0,22.0,3107.0,12.0,151.0,Dec 2020,2020.0,Dec,False
168,AMBUJACEM,Dec 2021,28965.0,22755.0,6210.0,21.0,252.0,146,1152,5164.0,28.0,3711.0,14.0,45.0,Dec 2021,2021.0,Dec,False
169,AMBUJACEM,Mar 2023 15,38937.0,33815.0,5122.0,13.0,447.0,195,1645,3729.0,19.0,3024.0,13.0,19.0,Mar 2023,2023.0,Mar,False
170,AMBUJACEM,Mar 2024,33160.0,26760.0,6400.0,19.0,1401.0,276,1623,5901.0,20.0,4738.0,16.0,12.0,Mar 2024,2024.0,Mar,False
171,AMBUJACEM,TTM,32850.0,27028.0,5822.0,18.0,1230.0,298,1899,4856.0,,3871.0,13.0,,TTM,,,True
172,APOLLOHOSP,Mar 2013,3769.0,3157.0,612.0,16.0,33.0,103,142,399.0,26.0,303.0,22.0,25.0,Mar 2013,2013.0,Mar,False
173,APOLLOHOSP,Mar 2014,4357.0,3681.0,676.0,16.0,18.0,119,168,407.0,25.0,315.0,23.0,25.0,Mar 2014,2014.0,Mar,False
174,APOLLOHOSP,Mar 2015,5129.0,4392.0,737.0,14.0,47.0,118,212,455.0,29.0,335.0,24.0,24.0,Mar 2015,2015.0,Mar,False
175,APOLLOHOSP,Mar 2016,6150.0,5465.0,684.0,11.0,92.0,180,264,332.0,29.0,235.0,17.0,35.0,Mar 2016,2016.0,Mar,False
176,APOLLOHOSP,Mar 2017,7256.0,6522.0,734.0,10.0,60.0,257,314,222.0,41.0,131.0,16.0,38.0,Mar 2017,2017.0,Mar,False
177,APOLLOHOSP,Mar 2018,8243.0,7442.0,801.0,10.0,24.0,295,359,171.0,65.0,60.0,8.0,59.0,Mar 2018,2018.0,Mar,False
178,APOLLOHOSP,Mar 2019,9617.0,8548.0,1070.0,11.0,26.0,327,396,373.0,47.0,200.0,17.0,35.0,Mar 2019,2019.0,Mar,False
179,APOLLOHOSP,Mar 2020,11247.0,9656.0,1591.0,14.0,222.0,533,620,660.0,34.0,432.0,33.0,18.0,Mar 2020,2020.0,Mar,False
180,APOLLOHOSP,Mar 2021,10560.0,9420.0,1140.0,11.0,103.0,449,573,221.0,38.0,137.0,10.0,29.0,Mar 2021,2021.0,Mar,False
181,APOLLOHOSP,Mar 2022,14663.0,12474.0,2189.0,15.0,368.0,379,601,1578.0,30.0,1108.0,73.0,16.0,Mar 2022,2022.0,Mar,False
